con_date,c13,c9
2013-11-21 00:00:00,224759693.5517,7.9017
2013-11-22 00:00:00,224967409.7351,7.8787
2013-11-25 00:00:00,225186663.7438,7.8224
2013-11-26 00:00:00,224915548.2649,7.8134
2013-11-27 00:00:00,225039687.8728,7.8754
2013-11-28 00:00:00,225438138.1839,7.9306
2013-11-29 00:00:00,225899768.8061,7.9075
2013-12-02 00:00:00,226129658.1799,7.9286
2013-12-03 00:00:00,226483015.1985,7.9514
2013-12-04 00:00:00,226574473.6867,8.0227
2013-12-05 00:00:00,226747581.736,7.9894
2013-12-06 00:00:00,226836964.7099,7.9562
2013-12-09 00:00:00,227279240.6857,7.9281
2013-12-10 00:00:00,227364514.1588,7.9171
2013-12-11 00:00:00,227492245.1511,7.7889
2013-12-12 00:00:00,227598666.3114,7.7726
2013-12-13 00:00:00,227496508.0807,7.7416
2013-12-16 00:00:00,228621413.7981,7.7435
2013-12-17 00:00:00,228119676.8079,7.7238
2013-12-18 00:00:00,228592841.1181,7.704
2013-12-19 00:00:00,228599114.4547,7.6384
2013-12-20 00:00:00,228656853.5296,7.4466
2013-12-23 00:00:00,229227683.0581,7.4812
2013-12-24 00:00:00,229335388.6705,7.4832
2013-12-25 00:00:00,229467362.21,7.5232
2013-12-26 00:00:00,229205224.4775,7.4135
2013-12-27 00:00:00,229122141.2018,7.5139
2013-12-30 00:00:00,229339551.8554,7.4776
2013-12-31 00:00:00,229405627.3105,7.5543
2014-01-02 00:00:00,228780506.4565,7.5578
2014-01-03 00:00:00,228801255.7465,7.4681
2014-01-06 00:00:00,228598352.6507,7.3608
2014-01-07 00:00:00,228497636.5099,7.3454
2014-01-08 00:00:00,228538013.3125,7.3368
2014-01-09 00:00:00,228719320.2095,7.2732
2014-01-10 00:00:00,229410608.4422,7.2213
2014-01-13 00:00:00,231115154.8123,7.175
2014-01-14 00:00:00,231141666.9191,7.2208
2014-01-15 00:00:00,231270890.4941,7.1951
2014-01-16 00:00:00,231288212.9417,7.1901
2014-01-17 00:00:00,231580890.229,7.122
2014-01-20 00:00:00,232023936.0357,7.0568
2014-01-21 00:00:00,231485253.1631,7.1243
2014-01-22 00:00:00,231529434.5706,7.2687
2014-01-23 00:00:00,231545894.7539,7.2196
2014-01-24 00:00:00,231545349.5048,7.251
2014-01-27 00:00:00,232142942.29,7.1473
2014-01-28 00:00:00,232141598.1681,7.1684
2014-01-29 00:00:00,232090550.009,7.204
2014-01-30 00:00:00,232236007.7831,7.1313
2014-02-07 00:00:00,233492526.2949,7.1068
2014-02-10 00:00:00,232975659.3708,7.2582
2014-02-11 00:00:00,232588305.615,7.3353
2014-02-12 00:00:00,233377252.8054,7.3192
2014-02-13 00:00:00,233569074.727,7.2944
2014-02-14 00:00:00,233750035.5009,7.3253
